case,Q,delta_Q,seconds,invalid,mean_c_p,mean_h_p,mean_t_p_early,mean_t_p_late,mean_e_p_early,mean_e_p_late,mean_i_c_early,mean_i_c_late,mean_hc_early,mean_hc_late,error
mu_1=-0.06,0.4417135102182462,0.19168736795398578,9.862624883651733,0,3.152447540036033,0.28539662497101326,0.548551820238539,0.3606014054596955,0.325760663730323,0.5488485102851387,0.03937035250749274,0.026533792679283748,6.040017765927946,6.339486497574899,
mu_1=-0.05,0.3053768305199961,0.05535068825573569,10.639030933380127,0,3.215462416785497,0.2953270296354502,0.5373307625914436,0.3422563512001932,0.30932536276244277,0.49360915281321077,0.04425945218869199,0.028746465977585806,6.030466653134722,6.321220656396872,
mu_1=-0.03,0.3526270595899851,0.10260091732572468,9.719375133514404,0,3.3692374776133938,0.32192591464018305,0.5094169127772444,0.2932372438114336,0.2750303951993037,0.3753086880590758,0.06182876390847642,0.036781187834248816,6.005505085485209,6.268757218593788,
mu_1=-0.02,0.8977180216954683,0.6476918794312079,9.157991170883179,0,3.4657289624024825,0.34016658295843244,0.491564449438657,0.2597012957293933,0.2568072585407126,0.31128259800754315,0.08111798991177335,0.04575630106569278,5.988201530889386,6.228866350692672,
sigma_1_0=-0.2,0.25082544169082543,0.0007992994265650366,10.047852039337158,0,3.2677868402989034,0.3037113572892929,0.5299949638356265,0.32471633168807085,0.2898423826910052,0.43257474732669965,0.05057769770257727,0.031674611702293916,6.015459201269161,6.295668903883436,
sigma_1_0=-0.15,0.2578873049517023,0.007861162687441914,10.441275119781494,0,3.225829862948703,0.2960498465039355,0.5419215635036527,0.33448175785288436,0.2841880158692122,0.42517426560635413,0.04930408840981185,0.031203446834230875,6.0073166300369145,6.289819531570447,
sigma_2_1=-0.05,0.24999357256321775,-3.256970104265067e-5,9.91623592376709,0,3.287052224485747,0.30727550892098876,0.5244131695609857,0.3202345649500479,0.2924385903285538,0.4358609666938399,0.051163548566029594,0.03189240298962211,6.019218973482413,6.298384635662917,
sigma_2_1=-0.075,0.3001745167258385,0.050148374461578105,9.623806953430176,0,3.301665677487542,0.30496794310154596,0.5263723945434453,0.3214952740733534,0.2624507068864869,0.3242523642219089,0.050954323748599234,0.03179921454472781,6.023199364733298,6.299345579536855,
sigma_2_1=-0.1,0.45955952200154326,0.20953337973728287,10.335722923278809,0,3.3134283755084444,0.30314701929449334,0.5279192131668161,0.3224939832789811,0.23617316524835325,0.24156702567617483,0.05078555845369367,0.031740921899701915,6.026638822103842,6.301170387199025,
sigma_4_0=-6.0,0.25025439986169334,0.00022825759743294594,9.879693984985352,0,3.287054378259184,0.3072549608698801,0.5244267531189662,0.3202719716708958,0.29246526067373285,0.4359438738167697,0.050493943649288615,0.031445961231922163,6.019268490859475,6.29858631683795,
sigma_4_0=-6.2,0.2950838186960587,0.04505767643179831,9.61027717590332,0,3.2867816737174316,0.30695663616047414,0.5246227282005245,0.3207709901975337,0.2924029466182591,0.4359746919385307,0.04216730150167837,0.02597150219663433,6.019944141621508,6.3011597757918585,
sigma_4_0=-6.5,0.4540656041502977,0.20403946188603728,9.857034921646118,0,3.2863352736064946,0.306589175290086,0.5248594949486255,0.32137817689999393,0.2923555966692058,0.43599850118990285,0.03199005958723997,0.019433179225143628,6.020808527617639,6.304413276549431,
study_pivot_slope=0.04,0.20399837748351327,-0.04602776478074713,9.577545881271362,0,3.2866891762624957,0.3073472245944566,0.5244440225777913,0.3200883711320962,0.29240058884101644,0.4358576437846644,0.04784099428819284,0.033279244793076895,6.019445361984838,6.298076662174857,
study_pivot_slope=0.08,0.1403453753154969,-0.1096807669487635,9.630107879638672,0,3.2859812381359856,0.3075131109496355,0.5245011236240513,0.31974712173767944,0.29233160745693965,0.43562097054565313,0.04178894502839193,0.036397403876419446,6.019866408164719,6.297364253692738,
study_pivot_slope=0.12,0.10770805321749687,-0.14231808904676352,9.085200071334839,0,3.2851087199340623,0.3077084662667711,0.5245312610937534,0.319374324443697,0.29220549239696536,0.4353611130981955,0.036476762882009454,0.04005106176508832,6.020214952864473,6.29654090448219,
